Unique ID,Title,Category,Source,Owner,Status
1,House Music,History,http://en.wikipedia.org/wiki/House_music,Ian,Needs Editing
2,Early Formation,History,http://en.wikipedia.org/wiki/House_music#Origins_.281980s.29,Ian,Needs Editing
3,Disco & Disco Edits,History,http://en.wikipedia.org/wiki/Disco,Ian,Needs Editing
4,Chicago House,Genres,http://en.wikipedia.org/wiki/Chicago_house,Ian,Needs Editing
5,Influential DJs of Chicago,Artists,http://en.wikipedia.org/wiki/Chicago_house#List_of_notable_artists,Ian,Needs Editing
6,Acid House,Genres,http://en.wikipedia.org/wiki/Acid_house,Ian,Needs Editing
7,Detroit Techno,Genres,http://en.wikipedia.org/wiki/Detroit_techno,Ian,Needs editing
8,Influential DJs of Detroit,Artists,http://en.wikipedia.org/wiki/Detroit_techno#The_Belleville_Three,Ian,Needs Editing
9,Jackin House,Genres,http://en.wikipedia.org/wiki/Jacking,Ian ,Needs Editing
10,Exporting & UK Scene,History,http://en.wikipedia.org/wiki/Second_Summer_of_Love,Ian ,Needs Editing
11,Second Wave Chicago,Artists,http://www.chicagoreader.com/chicago/a-history-of-the-second-wave-of-chicago-house-music/Content?oid=6194277,Ian,Needs Editing
12,1990s,History,http://pressureradio.com/house-music/,Ian,Needs Editing
13,2000s,History,http://alex8pink.blogspot.ca/2013/01/i-love-house-music-part-onehistory-of.html,Ian,Needs Editing
14,Influencial Songs in House,Music,http://news.beatport.com/blog/2009/10/09/20-tracks-every-house-fan-should-know/,Ian,Needs Editing
15,Digital Download Sites,Music,http://www.traxsource.com,Ian,Needs Editing
